Epoch,Train Loss,Val Loss,Num Class Train,Num Class Val
1,1.4782893267353023,1.4308225767953056,4,4
2,1.3929169916473658,1.3849161114011492,4,4
3,1.347690705704478,1.3381513936179026,4,4
4,1.2904014661248806,1.2753328800201416,5,5
5,1.2457711306293453,1.306812116077968,5,5
6,1.2273637889760785,1.211146650995527,5,5
7,1.1921406899933267,1.2053043195179531,5,5
8,1.1827588608834596,1.1783729416983468,5,5
9,1.13616249202627,1.1876477411815098,5,5
10,1.1191338269056472,1.1955555983952113,5,5
11,1.101956006172484,1.2487936735153198,5,5
12,1.0811646960477914,1.145514518874032,5,5
13,1.0682674282419997,1.2395394802093507,5,5
14,1.0656754026370765,1.0989236865724836,5,5
15,1.0465399876105046,1.1004662445613316,5,5
16,1.0373109304799444,1.23341429574149,5,5
17,1.0146690686192132,1.0917647634233747,5,5
18,1.0063577051711294,1.0923321621758597,5,5
19,1.0043536356065126,1.1039480141230993,5,5
20,1.000888883012586,1.0711882318769181,5,5
21,0.995522803964868,1.0650844744273595,5,5
22,0.9805775833340873,1.1298636334283012,5,5
23,0.979542703755134,1.0888774633407592,5,5
24,0.9759479935190319,1.093492559024266,5,5
25,0.981910788907414,1.1504671539579119,5,5
26,0.9674545811340872,1.0617469651358469,5,5
27,0.9640879794559648,1.081163455758776,5,5
28,0.9647337741556421,1.0914688280650549,5,5
29,0.9650063778446839,1.0957116212163653,5,5
30,0.9481486519881054,1.0441885130746025,5,5
