Sentence,Word,Lemma,Word Frequency,Log Probability
19,odmah,odmah,12188,-9.199934664070966
19,sam,biti,5835707,-3.028635822432384
19,morao,morati,36155,-8.112571273567513
19,da,da,836448,-4.971222170477442
19,odem,otići,12845,-9.14743189463258
19,na,na,1602609,-4.3209983199920226
19,sastanak,sastanak,5161,-10.059256166027838
20,taman,taman,3270,-10.515596540285266
20,sam,biti,5835707,-3.028635822432384
20,krenula,krenuti,10250,-9.37310881961001
20,da,da,836448,-4.971222170477442
20,učim,učiti,5048,-10.081394399955515
20,a,a,483026,-5.520316042762907
20,on,on,372934,-5.778985064906728
20,me,ja,17745,-8.824282739095969
20,pozvao,pozvati,6649,-9.80592005777411
21,strpi,strpeti,12,-16.123235154388563
21,se,sebe,1544095,-4.358193268005097
21,još,još,79420,-7.325636299491323
21,malo,malo,46780,-7.854930764038395
21,samo,samo,79033,-7.330521038429764
21,što,što,231061,-6.257704780268717
21,nismao,nismao,1,-18.608141804176565
21,stigli,stignuti,6802,-9.783169838609425
22,ovi,ovaj,327625,-5.908516863550858
22,klinci,klinac,208,-13.270603724475247
22,su,biti,5835707,-3.028635822432384
22,nemogući,nemoguć,1437,-11.337828918097541
22,niko,nitko,510,-12.373731078458194
22,ih,oni,144624,-6.726249254138373
22,ne,ne,120507,-6.908678682664645
22,može,moći,193193,-6.436696835956459
22,obuzdati,obuzdati,166,-13.496154015820021
23,milan,Milan,1,-18.608141804176565
23,je,biti,5835707,-3.028635822432384
23,ušao,ući,13342,-9.109469570907104
23,u,u,4289454,-3.336471794099499
23,voz,voz,3841,-10.354653775830661
23,nekoliko,nekoliko,53374,-7.723062789184146
23,minuta,minuta,8421,-9.569657939146573
23,pre,pre,52610,-7.737480309451712
23,nas,mi,14275,-9.041876769652355
24,kompjuteri,kompjuter,935,-11.767595274887878
24,su,biti,5835707,-3.028635822432384
24,prodrli,prodreti,1561,-11.255059883661133
24,u,u,4289454,-3.336471794099499
24,sve,sav,122797,-6.889853939747229
24,oblasti,oblast,51614,-7.75659357167748
24,i,i,2848044,-3.7459988033437006
24,bez,bez,51708,-7.754774016772727
24,njih,oni,144624,-6.726249254138373
24,se,sebe,1544095,-4.358193268005097
24,ne,ne,120507,-6.908678682664645
24,može,moći,193193,-6.436696835956459
25,imamo,imati,284018,-6.051348908759977
25,još,još,79420,-7.325636299491323
25,četiri,četiri,30923,-8.268886281602226
25,minuta,minuta,8421,-9.569657939146573
25,vremena,vreme,106979,-7.027753971676609
25,do,do,278762,-6.070028154019341
25,polaska,polazak,412,-12.587118454827039
25,voza,voz,3841,-10.354653775830661
26,sutra,sutra,642,-12.143553500486604
26,ćemo,hteti,80522,-7.31185608618188
26,sve,sav,122797,-6.889853939747229
26,raditi,raditi,56299,-7.669709752195872
26,ponovo,ponovo,25381,-8.466385662581159
26,pa,pa,54554,-7.701195488380926
26,šta,što,231061,-6.257704780268717
26,ispadne,ispasti,2702,-10.70639428565642
27,otišao,otići,12845,-9.14743189463258
27,je,biti,5835707,-3.028635822432384
27,u,u,4289454,-3.336471794099499
27,inostranstvo,inostranstvo,4915,-10.1080947715953
27,prošle,prošli,3703,-10.391243223262952
27,godine,godina,1038137,-4.755203485592052
27,i,i,2848044,-3.7459988033437006
27,još,još,79420,-7.325636299491323
27,se,sebe,1544095,-4.358193268005097
27,nije,biti,5835707,-3.028635822432384
27,vartio,vartiti,11,-16.210246531378196
28,opet,opet,5426,-10.009184310957687
28,je,biti,5835707,-3.028635822432384
28,pijaca,Pijaca,1,-18.608141804176565
28,poskupela,poskupeti,7,-16.662231655121253
29,večeras,večeras,269,-13.013430424574725
29,najavljuju,najavljivati,699,-12.058491061942755
29,padavine,padavina,3150,-10.552984072356887
30,u,u,4289454,-3.336471794099499
30,ponedeljak,ponedeljak,589,-12.229715620524978
30,putujem,putovati,4337,-10.233203660341198
30,na,na,1602609,-4.3209983199920226
30,frušku,fruška,305,-12.887830027569153
30,goru,gora,31765,-8.242021470475931
31,moja,moj,8664,-9.54121001549574
31,karta,karta,5079,-10.07527213337532
31,važi,važiti,4077,-10.29502510135731
31,još,još,79420,-7.325636299491323
31,dva,dva,125034,-6.871800824877421
31,dana,dan,79017,-7.330723506004008
32,naša,naš,12943,-9.139831423734128
32,kola,kolo,11396,-9.267124108558766
32,su,biti,5835707,-3.028635822432384
32,stara,star,69345,-7.461292479086129
32,10,10,40832,-7.990920437472103
32,godina,godina,1038137,-4.755203485592052
33,sutra,sutra,642,-12.143553500486604
33,se,sebe,1544095,-4.358193268005097
33,završava,završavati,6456,-9.83537659422678
33,školska,školski,9363,-9.463620773237675
33,godina,godina,1038137,-4.755203485592052
34,preko,preko,49674,-7.794904867809704
34,leta,let,6350,-9.851931712289828
34,ću,hteti,80522,-7.31185608618188
34,biti,biti,5835707,-3.028635822432384
34,u,u,4289454,-3.336471794099499
34,beogradu,Beograd,1,-18.608141804176565
35,nismo,biti,5835707,-3.028635822432384
35,u,u,4289454,-3.336471794099499
35,kontaktu,kontakt,5671,-9.965021056162538
35,više,mnogo,161941,-6.613154453828936
35,od,od,1078904,-4.716685535164165
35,godinu,godina,1038137,-4.755203485592052
35,dana,dan,79017,-7.330723506004008
36,u,u,4289454,-3.336471794099499
36,braku,brak,9217,-9.4793369201829
36,smo,biti,5835707,-3.028635822432384
36,već,već,47106,-7.847986143750255
36,devet,devet,5460,-10.002937735437614
36,godina,godina,1038137,-4.755203485592052
37,za,za,769618,-5.054492237343056
37,osam,osam,8559,-9.553403164294956
37,minuta,minuta,8421,-9.569657939146573
37,počinje,počinjati,16330,-8.907382618212054
37,predstava,predstava,10170,-9.38094431513396
38,večeras,večeras,269,-13.013430424574725
38,mora,morati,36155,-8.112571273567513
38,da,da,836448,-4.971222170477442
38,donese,donesti,1202,-11.516399689081412
38,odluku,odluka,17173,-8.857048142192703
38,o,o,184163,-6.484565290171089
38,njegovoj,njegov,159203,-6.63020640774059
38,smeni,smeniti,1768,-11.130537560978976
39,o,o,184163,-6.484565290171089
39,toj,taj,400442,-5.707817588149575
39,aferi,afera,1359,-11.393637390025422
39,novine,novine,1870,-11.074448094327932
39,su,biti,5835707,-3.028635822432384
39,pisale,pisati,19201,-8.745424164183648
39,danima,dan,79017,-7.330723506004008
40,dugo,dugo,8820,-9.523364655175728
40,vremena,vreme,106979,-7.027753971676609
40,nismo,biti,5835707,-3.028635822432384
40,ovde,ovde,10338,-9.364560098420581
40,bili,biti,5835707,-3.028635822432384
41,gotovo,gotovo,11207,-9.283847942124536
41,je,biti,5835707,-3.028635822432384
41,sve,sav,122797,-6.889853939747229
41,možete,moći,193193,-6.436696835956459
41,početi,početi,48387,-7.821155342591273
41,sa,sa,702889,-5.145187540587291
41,pričom,priča,21766,-8.620037405920558
42,kada,kada,108527,-7.0133875352451565
42,završi,završiti,38953,-8.038030734020849
42,sa,sa,702889,-5.145187540587291
42,sastankom,sastanak,5161,-10.059256166027838
42,javiće,javiti,4216,-10.261499713955367
42,nam,mi,14275,-9.041876769652355
42,rezultate,rezultat,46896,-7.852454141225891
43,malo,malo,46780,-7.854930764038395
43,pre,pre,52610,-7.737480309451712
43,sam,biti,5835707,-3.028635822432384
43,se,sebe,1544095,-4.358193268005097
43,čuo,čuti,5143,-10.06274995840165
43,sa,sa,702889,-5.145187540587291
43,njim,on,372934,-5.778985064906728
43,i,i,2848044,-3.7459988033437006
43,on,on,372934,-5.778985064906728
43,mi,mi,14275,-9.041876769652355
43,je,biti,5835707,-3.028635822432384
43,sve,sav,122797,-6.889853939747229
43,ispričao,ispričati,736,-12.006911685447688
44,kada,kada,108527,-7.0133875352451565
